"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","322.50","320.50","323.64","318.75","3.56M","1.93%"
"Dec 28, 2018","316.38","319.74","321.53","315.15","3.73M","-0.24%"
"Dec 27, 2018","317.14","309.04","317.14","302.24","4.34M","1.02%"
"Dec 26, 2018","313.93","298.61","314.09","292.47","4.84M","6.72%"
"Dec 24, 2018","294.16","300.65","303.00","294.16","3.44M","-3.41%"
"Dec 21, 2018","304.55","309.09","314.97","304.01","7.64M","-2.72%"
"Dec 20, 2018","313.05","317.00","321.82","308.00","5.37M","-2.03%"
"Dec 19, 2018","319.55","329.33","333.48","316.10","4.87M","-2.59%"
"Dec 18, 2018","328.06","325.46","332.09","323.20","5.88M","3.77%"
"Dec 17, 2018","316.13","316.91","327.22","314.44","4.97M","-0.82%"
"Dec 14, 2018","318.75","322.45","323.91","315.56","3.30M","-2.06%"
"Dec 13, 2018","325.47","328.40","328.74","324.17","2.25M","-0.37%"
"Dec 12, 2018","326.69","327.38","331.90","324.66","3.42M","1.45%"
"Dec 11, 2018","322.03","333.25","334.49","318.75","3.57M","-1.32%"
"Dec 10, 2018","326.35","321.27","327.20","315.51","4.40M","0.97%"
"Dec 07, 2018","323.22","332.35","337.61","321.39","4.53M","-2.62%"
"Dec 06, 2018","331.90","329.99","333.63","317.30","9.30M","-3.09%"
"Dec 04, 2018","342.50","357.00","358.32","341.74","5.20M","-4.85%"
"Dec 03, 2018","359.96","364.31","369.00","356.37","6.57M","3.81%"
"Nov 30, 2018","346.76","341.94","347.58","337.50","5.37M","1.23%"
"Nov 29, 2018","342.56","335.97","343.23","334.06","5.33M","2.72%"
"Nov 28, 2018","333.50","325.72","334.01","321.73","6.12M","4.86%"
"Nov 27, 2018","318.03","315.28","318.56","310.96","2.95M","0.53%"
"Nov 26, 2018","316.36","315.56","318.59","310.66","3.36M","1.29%"
"Nov 23, 2018","312.32","315.00","317.00","311.87","1.60M","-1.58%"
"Nov 21, 2018","317.32","325.07","326.89","315.56","4.40M","-0.12%"
"Nov 20, 2018","317.70","302.10","322.18","296.61","6.88M","-1.01%"
"Nov 19, 2018","320.94","335.55","336.04","317.20","6.78M","-4.47%"
"Nov 16, 2018","335.95","339.00","340.19","331.16","4.43M","-1.65%"
"Nov 15, 2018","341.57","341.12","347.98","336.51","4.86M","-0.91%"
"Nov 14, 2018","344.72","352.09","355.85","343.89","3.45M","-1.37%"
"Nov 13, 2018","349.51","349.55","355.38","342.04","4.96M","-2.11%"
"Nov 12, 2018","357.03","370.21","370.48","355.99","3.09M","-3.33%"
